Date;Code du port;Nom du port;Nombre de passagers
2017-01;FRBES;BREST;0
2017-08;FRBES;BREST;5613
2018-01;FRBES;BREST;0
2018-03;FRBES;BREST;0
2019-02;FRBES;BREST;0
2019-10;FRBES;BREST;6568
2019-12;FRBES;BREST;0
2020-03;FRBES;BREST;0
2020-07;FRBES;BREST;0
2020-08;FRBES;BREST;0
2020-11;FRBES;BREST;0
2021-02;FRBES;BREST;
2021-05;FRBES;BREST;0
2021-08;FRBES;BREST;191
2021-11;FRBES;BREST;4240
2021-12;FRBES;BREST;0
2022-02;FRBES;BREST;194
2022-03;FRBES;BREST;1139
2017-02;FRLRT;LORIENT;0
2017-05;FRLRT;LORIENT;1455
2017-06;FRLRT;LORIENT;1200
2017-10;FRLRT;LORIENT;1080
2017-12;FRLRT;LORIENT;0
2018-01;FRLRT;LORIENT;0
2018-02;FRLRT;LORIENT;0
2018-03;FRLRT;LORIENT;0
2018-05;FRLRT;LORIENT;1488
2018-06;FRLRT;LORIENT;0
2018-11;FRLRT;LORIENT;0
2019-01;FRLRT;LORIENT;0
2019-08;FRLRT;LORIENT;0
2019-09;FRLRT;LORIENT;7142
2019-11;FRLRT;LORIENT;0
2020-03;FRLRT;LORIENT;0
2020-05;FRLRT;LORIENT;0
2020-06;FRLRT;LORIENT;0
2020-07;FRLRT;LORIENT;0
2020-08;FRLRT;LORIENT;0
2020-09;FRLRT;LORIENT;0
2021-04;FRLRT;LORIENT;0
2021-06;FRLRT;LORIENT;0
2021-08;FRLRT;LORIENT;0
2021-10;FRLRT;LORIENT;0
2021-12;FRLRT;LORIENT;0
2022-04;FRLRT;LORIENT;1364
2017-01;FRSML;SAINT-MALO;0
2017-02;FRSML;SAINT-MALO;0
2017-03;FRSML;SAINT-MALO;0
2017-11;FRSML;SAINT-MALO;0
2018-02;FRSML;SAINT-MALO;0
2018-03;FRSML;SAINT-MALO;0
2018-06;FRSML;SAINT-MALO;1900
2018-07;FRSML;SAINT-MALO;5146
2019-03;FRSML;SAINT-MALO;0
2019-05;FRSML;SAINT-MALO;7117
2019-07;FRSML;SAINT-MALO;3950
2020-04;FRSML;SAINT-MALO;0
2020-05;FRSML;SAINT-MALO;0
2020-09;FRSML;SAINT-MALO;384
2020-12;FRSML;SAINT-MALO;0
2021-03;FRSML;SAINT-MALO;0
2021-05;FRSML;SAINT-MALO;0
2021-06;FRSML;SAINT-MALO;0
2021-07;FRSML;SAINT-MALO;843
2021-10;FRSML;SAINT-MALO;1219
2021-11;FRSML;SAINT-MALO;0
2017-02;FRBES;BREST;0
2017-05;FRBES;BREST;18131
2017-06;FRBES;BREST;986
2017-07;FRBES;BREST;0
2017-11;FRBES;BREST;0
2018-05;FRBES;BREST;12038
2018-06;FRBES;BREST;0
2018-07;FRBES;BREST;1258
2018-09;FRBES;BREST;7886
2018-11;FRBES;BREST;0
2019-03;FRBES;BREST;2312
2019-04;FRBES;BREST;636
2019-06;FRBES;BREST;3474
2019-07;FRBES;BREST;9780
2019-08;FRBES;BREST;0
2019-09;FRBES;BREST;5998
2020-01;FRBES;BREST;0
2020-02;FRBES;BREST;0
2020-05;FRBES;BREST;0
2020-12;FRBES;BREST;0
2021-01;FRBES;BREST;0
2021-09;FRBES;BREST;4308
2021-10;FRBES;BREST;3346
2022-01;FRBES;BREST;3
2022-05;FRBES;BREST;4862
2022-06;FRBES;BREST;4446
2017-03;FRLRT;LORIENT;0
2017-04;FRLRT;LORIENT;1501
2017-07;FRLRT;LORIENT;0
2017-08;FRLRT;LORIENT;176
2017-09;FRLRT;LORIENT;216
2017-11;FRLRT;LORIENT;0
2018-04;FRLRT;LORIENT;2088
2018-07;FRLRT;LORIENT;1638
2018-08;FRLRT;LORIENT;1868
2019-02;FRLRT;LORIENT;0
2019-06;FRLRT;LORIENT;154
2019-07;FRLRT;LORIENT;0
2019-10;FRLRT;LORIENT;84
2019-12;FRLRT;LORIENT;0
2020-01;FRLRT;LORIENT;0
2020-11;FRLRT;LORIENT;0
2021-01;FRLRT;LORIENT;0
2021-05;FRLRT;LORIENT;0
2022-01;FRLRT;LORIENT;0
2022-02;FRLRT;LORIENT;0
2022-05;FRLRT;LORIENT;355
2017-04;FRSML;SAINT-MALO;434
2017-06;FRSML;SAINT-MALO;2782
2017-10;FRSML;SAINT-MALO;1902
2017-12;FRSML;SAINT-MALO;0
2018-01;FRSML;SAINT-MALO;0
2018-09;FRSML;SAINT-MALO;7029
2018-10;FRSML;SAINT-MALO;442
2018-11;FRSML;SAINT-MALO;0
2018-12;FRSML;SAINT-MALO;0
2019-04;FRSML;SAINT-MALO;4038
2019-06;FRSML;SAINT-MALO;9643
2019-10;FRSML;SAINT-MALO;5341
2019-11;FRSML;SAINT-MALO;0
2019-12;FRSML;SAINT-MALO;0
2020-03;FRSML;SAINT-MALO;0
2020-08;FRSML;SAINT-MALO;0
2020-11;FRSML;SAINT-MALO;0
2021-01;FRSML;SAINT-MALO;0
2021-04;FRSML;SAINT-MALO;0
2021-08;FRSML;SAINT-MALO;922
2021-09;FRSML;SAINT-MALO;4326
2022-01;FRSML;SAINT-MALO;0
2022-03;FRSML;SAINT-MALO;
2022-05;FRSML;SAINT-MALO;3945
2022-06;FRSML;SAINT-MALO;4796
2017-03;FRBES;BREST;0
2017-04;FRBES;BREST;1208
2017-09;FRBES;BREST;4241
2017-10;FRBES;BREST;655
2017-12;FRBES;BREST;0
2018-02;FRBES;BREST;0
2018-04;FRBES;BREST;3174
2018-08;FRBES;BREST;0
2018-10;FRBES;BREST;7988
2018-12;FRBES;BREST;0
2019-01;FRBES;BREST;0
2019-05;FRBES;BREST;13830
2019-11;FRBES;BREST;0
2020-04;FRBES;BREST;0
2020-06;FRBES;BREST;0
2020-09;FRBES;BREST;0
2020-10;FRBES;BREST;0
2021-03;FRBES;BREST;
2021-04;FRBES;BREST;10
2021-06;FRBES;BREST;0
2021-07;FRBES;BREST;0
2022-04;FRBES;BREST;6380
2017-01;FRLRT;LORIENT;0
2018-09;FRLRT;LORIENT;1040
2018-10;FRLRT;LORIENT;128
2018-12;FRLRT;LORIENT;0
2019-03;FRLRT;LORIENT;0
2019-04;FRLRT;LORIENT;1290
2019-05;FRLRT;LORIENT;0
2020-02;FRLRT;LORIENT;0
2020-04;FRLRT;LORIENT;0
2020-10;FRLRT;LORIENT;0
2020-12;FRLRT;LORIENT;0
2021-02;FRLRT;LORIENT;0
2021-03;FRLRT;LORIENT;0
2021-07;FRLRT;LORIENT;0
2021-09;FRLRT;LORIENT;982
2021-11;FRLRT;LORIENT;0
2022-03;FRLRT;LORIENT;0
2022-06;FRLRT;LORIENT;254
2017-05;FRSML;SAINT-MALO;3036
2017-07;FRSML;SAINT-MALO;0
2017-08;FRSML;SAINT-MALO;2444
2017-09;FRSML;SAINT-MALO;6986
2018-04;FRSML;SAINT-MALO;452
2018-05;FRSML;SAINT-MALO;8910
2018-08;FRSML;SAINT-MALO;376
2019-01;FRSML;SAINT-MALO;0
2019-02;FRSML;SAINT-MALO;0
2019-08;FRSML;SAINT-MALO;4560
2019-09;FRSML;SAINT-MALO;10824
2020-01;FRSML;SAINT-MALO;0
2020-02;FRSML;SAINT-MALO;0
2020-06;FRSML;SAINT-MALO;0
2020-07;FRSML;SAINT-MALO;160
2020-10;FRSML;SAINT-MALO;0
2021-02;FRSML;SAINT-MALO;0
2021-12;FRSML;SAINT-MALO;0
2022-02;FRSML;SAINT-MALO;0
2022-04;FRSML;SAINT-MALO;1348
